Quarter,City,HPI@Assessment Prices,HPI_Lag1,Repo_Rate,Repo_Rate_Lag1,CPI_Inflation,M3_Growth,GDP_Growth
Jun--2013,Ahmedabad,91,,7.333333333,,107.3333333,9.22,7.34
Sep--2013,Ahmedabad,91,91,7.333333333,7.333333333,112.4333333,9.12,6.53
Dec--2013,Ahmedabad,90,91,7.75,7.333333333,114.1,10.14666667,5.34
Mar--2014,Ahmedabad,89,90,8,7.75,113.2333333,9.733333333,8.02
Jun--2014,Ahmedabad,89,89,8,8,115.5666667,10.79333333,8.70
Sep--2014,Ahmedabad,88,89,8,8,119.3333333,12.56333333,5.92
Dec--2014,Ahmedabad,89,88,8,8,118.8333333,11.27,7.11
Mar--2015,Ahmedabad,89,89,7.666666667,8,118.7666667,10.94,7.59
Jun--2015,Ahmedabad,89,89,7.416666667,7.666666667,120.7,10.72,8.03
Sep--2015,Ahmedabad,90,89,7.25,7.416666667,123.0333333,10.93666667,7.20
Dec--2015,Ahmedabad,90,90,6.75,7.25,124.2666667,10.59,9.09
Mar--2016,Ahmedabad,90,90,6.75,6.75,123.9333333,10.68,8.68
Jun--2016,Ahmedabad,90,90,6.5,6.75,126.6666667,10.31666667,9.67
Sep--2016,Ahmedabad,91,90,6.5,6.5,128.4666667,11.23333333,8.58
Dec--2016,Ahmedabad,91,91,6.25,6.5,128.2333333,8.233333333,6.29
Mar--2017,Ahmedabad,93,91,6.25,6.25,128.2333333,7.56,6.11
Jun--2017,Ahmedabad,93,93,6.25,6.25,129.4333333,6.76,5.32
Sep--2017,Ahmedabad,94,93,6.083333333,6.25,132.3,6.306666667,6.67
Dec--2017,Ahmedabad,97,94,6,6.083333333,134.1333333,8.153333333,8.93
Mar--2018,Ahmedabad,100,97,6,6,134.0333333,9.816666667,7.50
JUN--2018,Ahmedabad,105,100,6.083333333,6,135.4666667,10.11666667,6.46
SEP--2018,Ahmedabad,110,105,6.416666667,6.083333333,137.8666667,10.01333333,6.23
Dec-18,Ahmedabad,114,110,6.5,6.416666667,138.6333333,10.19333333,5.72
Mar-19,Ahmedabad,117,114,6.333333333,6.5,138.7,10.59333333,5.10
Jun-19,Ahmedabad,121,117,5.916666667,6.333333333,141.4,10.11666667,4.30
Sep-19,Ahmedabad,127,121,5.516666667,5.916666667,144.0666667,10.00666667,3.26
Dec-19,Ahmedabad,133,127,5.15,5.516666667,147.1,10.26666667,2.94
Mar-20,Ahmedabad,137,133,4.9,5.15,147.7333333,10.07666667,-23.13
Jun-20,Ahmedabad,141,137,4.133333333,4.9,150.7666667,11.6,-5.84
Sep-20,Ahmedabad,143,141,4,4.133333333,154.0333333,12.65666667,1.78
Dec-20,Ahmedabad,147,143,4,4,156.5333333,12.15666667,3.29
Mar-21,Ahmedabad,152,147,4,4,156.4,12.37,22.63
Jun-21,Ahmedabad,156,152,4,4,159.3,10.7,9.87
Sep-21,Ahmedabad,161,156,4,4,162.1,9.59,5.53
Dec-21,Ahmedabad,165,161,4,4,165.1333333,10.19666667,4.45
Mar-22,Ahmedabad,173,165,4,4,165.6666667,8.633333333,13.49
Jun-22,Ahmedabad,177.12,173,4.433333333,4,170.4666667,8.683333333,5.96
Sep-22,Ahmedabad,183.34,177.12,5.4,4.433333333,173.1666667,8.703333333,4.84
Dec-22,Ahmedabad,188.78,183.34,6.016666667,5.4,174.8,8.91,6.90
Mar-23,Ahmedabad,191.68,188.78,6.416666667,6.016666667,175.6,9.446666667,9.66
Jun-23,Ahmedabad,193.18,191.68,6.5,6.416666667,178.5,11.09333333,9.34
Sep-23,Ahmedabad,194.57,193.18,6.5,6.5,183.8,11.21,9.51
Dec-23,Ahmedabad,197.59,194.57,6.5,6.5,183.7333333,11.60333333,8.35
Mar-24,Ahmedabad,202.95,197.59,6.5,6.5,183.7,11.34333333,6.51
Jun-24,Ahmedabad,205.49,202.95,6.5,6.5,186.0666667,11.31666667,5.61
Sep-24,Ahmedabad,210.03,205.49,6.5,6.5,190.6666667,9.976666667,6.37
Dec-24,Ahmedabad,212.66,210.03,6.5,6.5,192.9666667,10.18666667,7.38
Mar-25,Ahmedabad,215.24,212.66,6.333333333,6.5,190.2,9.45,7.81
Jun-25,Ahmedabad,219.48,215.24,5.833333333,6.333333333,191.6666667,9.38,8.23
Sep-25,Ahmedabad,222.53,219.48,5.5,5.833333333,194.7333333,9.546666667,8.65
Jun--2013,Bengaluru,76,222.53,7.333333333,5.5,107.3333333,9.22,7.34
